Packet Number,Timestamp,Host,Source IP,Destination IP,Source Port,Destination Port
1,2024-09-18 16:10:42,Host Criptato,172.25.73.180,20.44.10.122,49894,443
2,2024-09-18 16:10:42,Host Criptato,172.25.73.180,20.44.10.122,49894,443
3,2024-09-18 16:10:42,Host Criptato,20.44.10.122,172.25.73.180,443,49894
4,2024-09-18 16:10:42,Host Criptato,20.44.10.122,172.25.73.180,443,49894
5,2024-09-18 16:10:42,Host Criptato,172.25.73.180,20.44.10.122,49894,443
6,2024-09-18 16:10:43,Host Criptato,20.44.10.122,172.25.73.180,443,49894
7,2024-09-18 16:10:43,Host Criptato,172.25.73.180,20.44.10.122,49894,443
8,2024-09-18 16:10:43,Host Criptato,172.25.73.180,20.44.10.122,49894,443
9,2024-09-18 16:10:43,Host Criptato,20.44.10.122,172.25.73.180,443,49894
10,2024-09-18 16:10:44,Host Criptato,172.25.73.180,20.44.10.122,49894,443
11,2024-09-18 16:10:44,Host Criptato,172.25.73.180,20.44.10.122,49894,443
12,2024-09-18 16:10:44,Host Criptato,172.25.73.180,20.44.10.122,49894,443
13,2024-09-18 16:10:44,Host Criptato,172.25.73.180,20.44.10.122,49894,443
14,2024-09-18 16:10:44,Host Criptato,172.25.73.180,20.44.10.122,49894,443
15,2024-09-18 16:10:44,Host Criptato,20.44.10.122,172.25.73.180,443,49894
16,2024-09-18 16:10:44,Host Criptato,20.44.10.122,172.25.73.180,443,49894
17,2024-09-18 16:10:44,Host Criptato,20.44.10.122,172.25.73.180,443,49894
18,2024-09-18 16:10:44,Host Criptato,20.44.10.122,172.25.73.180,443,49894
19,2024-09-18 16:10:45,Host Criptato,20.44.10.122,172.25.73.180,443,49894
20,2024-09-18 16:10:45,Host Criptato,20.44.10.122,172.25.73.180,443,49894
21,2024-09-18 16:10:45,Host Criptato,172.25.73.180,20.44.10.122,49894,443
22,2024-09-18 16:10:46,Host Criptato,172.25.73.180,20.44.10.122,49894,443
23,2024-09-18 16:10:46,Host Criptato,172.25.73.180,20.44.10.122,49894,443
24,2024-09-18 16:10:46,Host Criptato,172.25.73.180,20.44.10.122,49894,443
25,2024-09-18 16:10:46,Host Criptato,172.25.73.180,20.44.10.122,49894,443
26,2024-09-18 16:10:47,Host Criptato,20.44.10.122,172.25.73.180,443,49894
27,2024-09-18 16:10:47,Host Criptato,20.44.10.122,172.25.73.180,443,49894
28,2024-09-18 16:10:47,Host Criptato,20.44.10.122,172.25.73.180,443,49894
29,2024-09-18 16:10:47,Host Criptato,20.44.10.122,172.25.73.180,443,49894
30,2024-09-18 16:10:47,Host Criptato,20.44.10.122,172.25.73.180,443,49894
31,2024-09-18 16:10:47,Host Criptato,172.25.73.180,20.44.10.122,49894,443
32,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
33,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
34,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
35,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
36,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
37,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
38,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
39,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
40,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
41,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
42,2024-09-18 16:10:49,Host Criptato,172.25.73.180,20.44.10.122,49894,443
43,2024-09-18 16:10:49,Host Criptato,20.44.10.122,172.25.73.180,443,49894
44,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
45,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
46,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
47,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
48,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
49,2024-09-18 16:10:51,Host Criptato,20.44.10.122,172.25.73.180,443,49894
50,2024-09-18 16:10:51,Host Criptato,20.44.10.122,172.25.73.180,443,49894
51,2024-09-18 16:10:51,Host Criptato,20.44.10.122,172.25.73.180,443,49894
52,2024-09-18 16:10:51,Host Criptato,20.44.10.122,172.25.73.180,443,49894
53,2024-09-18 16:10:51,Host Criptato,20.44.10.122,172.25.73.180,443,49894
54,2024-09-18 16:10:51,Host Criptato,172.25.73.180,20.44.10.122,49894,443
55,2024-09-18 16:10:53,Host Criptato,172.25.73.180,20.44.10.122,49894,443
56,2024-09-18 16:10:53,Host Criptato,172.25.73.180,20.44.10.122,49894,443
57,2024-09-18 16:10:53,Host Criptato,172.25.73.180,20.44.10.122,49894,443
58,2024-09-18 16:10:53,Host Criptato,172.25.73.180,20.44.10.122,49894,443
59,2024-09-18 16:10:53,Host Criptato,20.44.10.122,172.25.73.180,443,49894
60,2024-09-18 16:10:53,Host Criptato,20.44.10.122,172.25.73.180,443,49894
61,2024-09-18 16:10:53,Host Criptato,20.44.10.122,172.25.73.180,443,49894
62,2024-09-18 16:10:53,Host Criptato,20.44.10.122,172.25.73.180,443,49894
63,2024-09-18 16:10:53,Host Criptato,20.44.10.122,172.25.73.180,443,49894
64,2024-09-18 16:10:53,Host Criptato,172.25.73.180,20.44.10.122,49894,443
